num_hidden_layers,hidden_size,layer,neuron_index,value
2,10,0,0,0.13602151
2,10,0,0,0.12112936
2,10,0,0,0.10570683
2,10,0,0,0.15655991
2,10,0,0,0.091102205
2,10,0,0,0.13140075
2,10,0,0,0.16239873
2,10,0,0,0.14977843
2,10,0,0,0.089166366
2,10,0,0,0.087903455
2,10,0,0,0.16615368
2,10,0,0,0.096797496
2,10,0,0,0.10547517
2,10,0,0,0.10161712
2,10,0,0,0.09079395
2,10,0,0,0.14968884
2,10,0,0,0.11335558
2,10,0,0,0.10938282
2,10,0,0,0.1393398
2,10,0,0,0.11255313
2,10,0,0,0.13900909
2,10,0,0,0.10049732
2,10,0,0,0.138573
2,10,0,0,0.14262582
2,10,0,0,0.11607727
2,10,0,0,0.11170123
2,10,0,0,0.1475473
2,10,0,0,0.12302109
2,10,0,0,0.1021435
2,10,0,0,0.13100825
2,10,0,0,0.11384195
2,10,0,0,0.13703132
2,10,0,0,0.11187951
2,10,0,0,0.15757181
2,10,0,0,0.15177509
2,10,0,0,0.14835578
2,10,0,0,0.08771286
2,10,0,0,0.13821718
2,10,0,0,0.12689485
2,10,0,0,0.14737403
2,10,0,0,0.08434281
2,10,0,0,0.085261844
2,10,0,0,0.15883824
2,10,0,0,0.16123928
2,10,0,0,0.15900005
2,10,0,0,0.12698379
2,10,0,0,0.1376144
2,10,0,0,0.15460265
2,10,0,0,0.14202546
2,10,0,0,0.118747585
2,10,0,0,0.14898917
2,10,0,0,0.1173596
2,10,0,0,0.13652669
2,10,0,0,0.14737692
2,10,0,0,0.12093871
2,10,0,0,0.09182569
2,10,0,0,0.15551801
2,10,0,0,0.124804914
2,10,0,0,0.14245461
2,10,0,0,0.08506476
2,10,0,0,0.16710944
2,10,0,0,0.16753018
2,10,0,0,0.08489139
2,10,0,0,0.15367359
2,10,0,0,0.11862888
2,10,0,0,0.13044754
2,10,0,0,0.13573353
2,10,0,0,0.136273
2,10,0,0,0.09976705
2,10,0,0,0.12474699
2,10,0,0,0.16816583
2,10,0,0,0.1518742
2,10,0,0,0.14127
2,10,0,0,0.105387725
2,10,0,0,0.15428758
2,10,0,0,0.08669653
2,10,0,0,0.13624671
2,10,0,0,0.13441172
2,10,0,0,0.09347078
2,10,0,0,0.1054136
2,10,0,0,0.09072632
2,10,0,0,0.10218988
2,10,0,0,0.13967395
2,10,0,0,0.1549821
2,10,0,0,0.12994155
